"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-67.27632,18.16637,31.5,"Eretmochelys imbricata"
"gbif",-67.26688,18.35072,4,"Eretmochelys imbricata"
"gbif",-67.26997,18.34732,11,"Eretmochelys imbricata"
"gbif",-67.27118,18.34652,18,"Eretmochelys imbricata"
"gbif",-67.27524,18.16517,18,"Eretmochelys imbricata"
"gbif",-104.283798,19.082784,NA,"Eretmochelys imbricata"
"gbif",-83.919499,8.656912,NA,"Eretmochelys imbricata"
"gbif",-171.553,-13.9387,13.5,"Eretmochelys imbricata"
"gbif",-171.553,-13.9387,9.75,"Eretmochelys imbricata"
"gbif",-171.553,-13.9387,10.5,"Eretmochelys imbricata"
"gbif",-171.553,-13.9387,10.2,"Eretmochelys imbricata"
"gbif",130.869344,-12.355473,NA,"Eretmochelys imbricata"
"gbif",130.348357,-12.693136,NA,"Eretmochelys imbricata"
"gbif",-80.948124,-1.655693,NA,"Eretmochelys imbricata"
